, PRIMARY DESCRIPTION,Date,Counts
1309,ASSAULT,2020-01-22,52
356,BATTERY,2020-01-22,110
2695,BURGLARY,2020-01-22,25
6269,CONCEALED CARRY LICENSE VIOLATION,2020-01-22,1
7029,CRIM SEXUAL ASSAULT,2020-01-22,1
1609,CRIMINAL DAMAGE,2020-01-22,43
6071,CRIMINAL SEXUAL ASSAULT,2020-01-22,2
3775,CRIMINAL TRESPASS,2020-01-22,14
1522,DECEPTIVE PRACTICE,2020-01-22,45
6899,HOMICIDE,2020-01-22,1
4808,INTERFERENCE WITH PUBLIC OFFICER,2020-01-22,4
7125,INTIMIDATION,2020-01-22,1
7064,KIDNAPPING,2020-01-22,1
3325,MOTOR VEHICLE THEFT,2020-01-22,19
1694,NARCOTICS,2020-01-22,41
3780,OFFENSE INVOLVING CHILDREN,2020-01-22,14
1858,OTHER OFFENSE,2020-01-22,37
6341,PUBLIC PEACE VIOLATION,2020-01-22,1
2997,ROBBERY,2020-01-22,22
4642,SEX OFFENSE,2020-01-22,5
342,THEFT,2020-01-22,111
4188,WEAPONS VIOLATION,2020-01-22,9
1401,ASSAULT,2020-01-23,49
416,BATTERY,2020-01-23,105
2687,BURGLARY,2020-01-23,25
7000,CRIM SEXUAL ASSAULT,2020-01-23,1
1833,CRIMINAL DAMAGE,2020-01-23,37
6036,CRIMINAL SEXUAL ASSAULT,2020-01-23,2
2714,CRIMINAL TRESPASS,2020-01-23,25
1560,DECEPTIVE PRACTICE,2020-01-23,44
6901,HOMICIDE,2020-01-23,1
4789,INTERFERENCE WITH PUBLIC OFFICER,2020-01-23,4
3989,MOTOR VEHICLE THEFT,2020-01-23,12
1196,NARCOTICS,2020-01-23,57
4560,OFFENSE INVOLVING CHILDREN,2020-01-23,6
6334,OTHER NARCOTIC VIOLATION,2020-01-23,1
1854,OTHER OFFENSE,2020-01-23,37
6372,PROSTITUTION,2020-01-23,1
4741,PUBLIC PEACE VIOLATION,2020-01-23,5
2238,ROBBERY,2020-01-23,31
4819,SEX OFFENSE,2020-01-23,4
108,THEFT,2020-01-23,137
4204,WEAPONS VIOLATION,2020-01-23,9
1422,ASSAULT,2020-01-24,49
484,BATTERY,2020-01-24,100
2971,BURGLARY,2020-01-24,22
7001,CRIM SEXUAL ASSAULT,2020-01-24,1
1073,CRIMINAL DAMAGE,2020-01-24,62
5230,CRIMINAL SEXUAL ASSAULT,2020-01-24,3
2999,CRIMINAL TRESPASS,2020-01-24,22
1398,DECEPTIVE PRACTICE,2020-01-24,49
6902,HOMICIDE,2020-01-24,1
4785,INTERFERENCE WITH PUBLIC OFFICER,2020-01-24,4
5694,KIDNAPPING,2020-01-24,2
3322,MOTOR VEHICLE THEFT,2020-01-24,19
2007,NARCOTICS,2020-01-24,34
3911,OFFENSE INVOLVING CHILDREN,2020-01-24,13
1418,OTHER OFFENSE,2020-01-24,49
5562,PROSTITUTION,2020-01-24,2
4290,PUBLIC PEACE VIOLATION,2020-01-24,8
2886,ROBBERY,2020-01-24,23
6766,SEX OFFENSE,2020-01-24,1
6582,STALKING,2020-01-24,1
18,THEFT,2020-01-24,172
3212,WEAPONS VIOLATION,2020-01-24,20
1577,ASSAULT,2020-01-25,43
163,BATTERY,2020-01-25,129
2419,BURGLARY,2020-01-25,28
6799,CONCEALED CARRY LICENSE VIOLATION,2020-01-25,1
1444,CRIMINAL DAMAGE,2020-01-25,48
4810,CRIMINAL SEXUAL ASSAULT,2020-01-25,4
3805,CRIMINAL TRESPASS,2020-01-25,14
1221,DECEPTIVE PRACTICE,2020-01-25,55
6903,HOMICIDE,2020-01-25,1
4797,INTERFERENCE WITH PUBLIC OFFICER,2020-01-25,4
5167,KIDNAPPING,2020-01-25,3
5752,LIQUOR LAW VIOLATION,2020-01-25,2
3606,MOTOR VEHICLE THEFT,2020-01-25,16
1306,NARCOTICS,2020-01-25,52
4558,OFFENSE INVOLVING CHILDREN,2020-01-25,6
1325,OTHER OFFENSE,2020-01-25,52
4375,PROSTITUTION,2020-01-25,7
4453,PUBLIC PEACE VIOLATION,2020-01-25,6
2709,ROBBERY,2020-01-25,25
4816,SEX OFFENSE,2020-01-25,4
89,THEFT,2020-01-25,142
2985,WEAPONS VIOLATION,2020-01-25,22
1551,ASSAULT,2020-01-26,44
174,BATTERY,2020-01-26,128
3653,BURGLARY,2020-01-26,16
6967,CONCEALED CARRY LICENSE VIOLATION,2020-01-26,1
5607,CRIM SEXUAL ASSAULT,2020-01-26,2
1384,CRIMINAL DAMAGE,2020-01-26,50
4414,CRIMINAL SEXUAL ASSAULT,2020-01-26,7
3002,CRIMINAL TRESPASS,2020-01-26,22
1823,DECEPTIVE PRACTICE,2020-01-26,38
6904,HOMICIDE,2020-01-26,1
4798,INTERFERENCE WITH PUBLIC OFFICER,2020-01-26,4
7126,INTIMIDATION,2020-01-26,1
6798,KIDNAPPING,2020-01-26,1
2868,MOTOR VEHICLE THEFT,2020-01-26,23
2168,NARCOTICS,2020-01-26,32
4554,OFFENSE INVOLVING CHILDREN,2020-01-26,6
1637,OTHER OFFENSE,2020-01-26,42
4155,PROSTITUTION,2020-01-26,9
5636,PUBLIC PEACE VIOLATION,2020-01-26,2
2607,ROBBERY,2020-01-26,26
5224,SEX OFFENSE,2020-01-26,3
178,THEFT,2020-01-26,127
3214,WEAPONS VIOLATION,2020-01-26,20
1289,ASSAULT,2020-01-27,53
144,BATTERY,2020-01-27,132
2920,BURGLARY,2020-01-27,23
7002,CRIM SEXUAL ASSAULT,2020-01-27,1
1200,CRIMINAL DAMAGE,2020-01-27,56
5229,CRIMINAL SEXUAL ASSAULT,2020-01-27,3
3779,CRIMINAL TRESPASS,2020-01-27,14
972,DECEPTIVE PRACTICE,2020-01-27,67
6905,HOMICIDE,2020-01-27,1
4793,INTERFERENCE WITH PUBLIC OFFICER,2020-01-27,4
2869,MOTOR VEHICLE THEFT,2020-01-27,23
1587,NARCOTICS,2020-01-27,43
4374,OFFENSE INVOLVING CHILDREN,2020-01-27,7
1125,OTHER OFFENSE,2020-01-27,59
6373,PROSTITUTION,2020-01-27,1
5432,PUBLIC PEACE VIOLATION,2020-01-27,3
3867,ROBBERY,2020-01-27,13
4857,SEX OFFENSE,2020-01-27,4
19,THEFT,2020-01-27,171
3429,WEAPONS VIOLATION,2020-01-27,18
1497,ASSAULT,2020-01-28,46
222,BATTERY,2020-01-28,121
2183,BURGLARY,2020-01-28,31
7003,CRIM SEXUAL ASSAULT,2020-01-28,1
1287,CRIMINAL DAMAGE,2020-01-28,53
4831,CRIMINAL SEXUAL ASSAULT,2020-01-28,4
