, PRIMARY DESCRIPTION,Date,Counts,Cases - Total
907,ARSON,2020-03-01,1,0
892,ASSAULT,2020-03-01,46,0
887,BATTERY,2020-03-01,147,0
897,BURGLARY,2020-03-01,15,0
903,CONCEALED CARRY LICENSE VIOLATION,2020-03-01,2,0
889,CRIMINAL DAMAGE,2020-03-01,102,0
899,CRIMINAL SEXUAL ASSAULT,2020-03-01,13,0
900,CRIMINAL TRESPASS,2020-03-01,10,0
891,DECEPTIVE PRACTICE,2020-03-01,51,0
905,HOMICIDE,2020-03-01,2,0
906,INTERFERENCE WITH PUBLIC OFFICER,2020-03-01,2,0
894,MOTOR VEHICLE THEFT,2020-03-01,23,0
893,NARCOTICS,2020-03-01,41,0
898,OFFENSE INVOLVING CHILDREN,2020-03-01,15,0
890,OTHER OFFENSE,2020-03-01,54,0
902,PUBLIC PEACE VIOLATION,2020-03-01,4,0
896,ROBBERY,2020-03-01,17,0
901,SEX OFFENSE,2020-03-01,9,0
904,STALKING,2020-03-01,2,0
888,THEFT,2020-03-01,133,0
895,WEAPONS VIOLATION,2020-03-01,21,0
1218,ASSAULT,2020-03-02,52,0
1216,BATTERY,2020-03-02,103,0
1226,BURGLARY,2020-03-02,14,0
1237,CONCEALED CARRY LICENSE VIOLATION,2020-03-02,1,0
1217,CRIMINAL DAMAGE,2020-03-02,66,0
1228,CRIMINAL SEXUAL ASSAULT,2020-03-02,5,0
1225,CRIMINAL TRESPASS,2020-03-02,14,0
1219,DECEPTIVE PRACTICE,2020-03-02,51,0
1231,HOMICIDE,2020-03-02,3,0
1227,INTERFERENCE WITH PUBLIC OFFICER,2020-03-02,7,0
1232,INTIMIDATION,2020-03-02,2,0
1235,KIDNAPPING,2020-03-02,1,0
1236,LIQUOR LAW VIOLATION,2020-03-02,1,0
1223,MOTOR VEHICLE THEFT,2020-03-02,17,0
1221,NARCOTICS,2020-03-02,31,0
1229,OFFENSE INVOLVING CHILDREN,2020-03-02,4,0
1234,OTHER NARCOTIC VIOLATION,2020-03-02,1,0
1220,OTHER OFFENSE,2020-03-02,43,0
1230,PUBLIC PEACE VIOLATION,2020-03-02,4,0
1224,ROBBERY,2020-03-02,15,0
1233,SEX OFFENSE,2020-03-02,2,0
1215,THEFT,2020-03-02,142,0
1222,WEAPONS VIOLATION,2020-03-02,19,0
707,ASSAULT,2020-03-03,60,0
705,BATTERY,2020-03-03,107,0
711,BURGLARY,2020-03-03,24,0
721,CONCEALED CARRY LICENSE VIOLATION,2020-03-03,1,0
708,CRIMINAL DAMAGE,2020-03-03,59,0
717,CRIMINAL SEXUAL ASSAULT,2020-03-03,5,0
712,CRIMINAL TRESPASS,2020-03-03,23,0
706,DECEPTIVE PRACTICE,2020-03-03,63,0
719,HOMICIDE,2020-03-03,2,0
718,INTERFERENCE WITH PUBLIC OFFICER,2020-03-03,4,0
714,MOTOR VEHICLE THEFT,2020-03-03,18,0
709,NARCOTICS,2020-03-03,40,0
716,OFFENSE INVOLVING CHILDREN,2020-03-03,7,0
710,OTHER OFFENSE,2020-03-03,39,0
715,ROBBERY,2020-03-03,7,0
720,SEX OFFENSE,2020-03-03,1,0
704,THEFT,2020-03-03,152,0
713,WEAPONS VIOLATION,2020-03-03,20,0
1086,ARSON,2020-03-04,1,0
1071,ASSAULT,2020-03-04,68,0
1070,BATTERY,2020-03-04,109,0
1077,BURGLARY,2020-03-04,17,0
1072,CRIMINAL DAMAGE,2020-03-04,57,0
1091,CRIMINAL SEXUAL ASSAULT,2020-03-04,1,0
1078,CRIMINAL TRESPASS,2020-03-04,17,0
1073,DECEPTIVE PRACTICE,2020-03-04,53,0
1090,GAMBLING,2020-03-04,1,0
1083,INTERFERENCE WITH PUBLIC OFFICER,2020-03-04,3,0
1085,KIDNAPPING,2020-03-04,2,0
1088,LIQUOR LAW VIOLATION,2020-03-04,1,0
1079,MOTOR VEHICLE THEFT,2020-03-04,13,0
1075,NARCOTICS,2020-03-04,42,0
1080,OFFENSE INVOLVING CHILDREN,2020-03-04,8,0
1074,OTHER OFFENSE,2020-03-04,51,0
1087,PROSTITUTION,2020-03-04,1,0
1084,PUBLIC PEACE VIOLATION,2020-03-04,2,0
1076,ROBBERY,2020-03-04,23,0
1082,SEX OFFENSE,2020-03-04,3,0
1089,STALKING,2020-03-04,1,0
1069,THEFT,2020-03-04,144,0
1081,WEAPONS VIOLATION,2020-03-04,6,0
1300,ASSAULT,2020-03-05,48,1
1298,BATTERY,2020-03-05,110,1
1305,BURGLARY,2020-03-05,15,1
1318,CONCEALED CARRY LICENSE VIOLATION,2020-03-05,1,1
1299,CRIMINAL DAMAGE,2020-03-05,59,1
1315,CRIMINAL SEXUAL ASSAULT,2020-03-05,2,1
1308,CRIMINAL TRESPASS,2020-03-05,10,1
1302,DECEPTIVE PRACTICE,2020-03-05,41,1
1317,GAMBLING,2020-03-05,1,1
1314,HOMICIDE,2020-03-05,2,1
1310,INTERFERENCE WITH PUBLIC OFFICER,2020-03-05,8,1
1316,LIQUOR LAW VIOLATION,2020-03-05,1,1
1304,MOTOR VEHICLE THEFT,2020-03-05,20,1
1303,NARCOTICS,2020-03-05,39,1
1309,OFFENSE INVOLVING CHILDREN,2020-03-05,10,1
1301,OTHER OFFENSE,2020-03-05,42,1
1311,PROSTITUTION,2020-03-05,6,1
1312,PUBLIC PEACE VIOLATION,2020-03-05,5,1
1307,ROBBERY,2020-03-05,12,1
1313,SEX OFFENSE,2020-03-05,3,1
1297,THEFT,2020-03-05,139,1
1306,WEAPONS VIOLATION,2020-03-05,13,1
619,ARSON,2020-03-06,1,3
606,ASSAULT,2020-03-06,54,3
603,BATTERY,2020-03-06,137,3
610,BURGLARY,2020-03-06,23,3
623,CONCEALED CARRY LICENSE VIOLATION,2020-03-06,1,3
604,CRIMINAL DAMAGE,2020-03-06,66,3
616,CRIMINAL SEXUAL ASSAULT,2020-03-06,5,3
613,CRIMINAL TRESPASS,2020-03-06,18,3
605,DECEPTIVE PRACTICE,2020-03-06,55,3
622,HOMICIDE,2020-03-06,1,3
617,INTERFERENCE WITH PUBLIC OFFICER,2020-03-06,4,3
620,LIQUOR LAW VIOLATION,2020-03-06,1,3
609,MOTOR VEHICLE THEFT,2020-03-06,32,3
608,NARCOTICS,2020-03-06,42,3
614,OFFENSE INVOLVING CHILDREN,2020-03-06,9,3
607,OTHER OFFENSE,2020-03-06,52,3
615,PUBLIC PEACE VIOLATION,2020-03-06,6,3
611,ROBBERY,2020-03-06,21,3
618,SEX OFFENSE,2020-03-06,3,3
621,STALKING,2020-03-06,1,3
602,THEFT,2020-03-06,153,3
612,WEAPONS VIOLATION,2020-03-06,20,3
1660,ARSON,2020-03-07,2,3
1646,ASSAULT,2020-03-07,44,3
1643,BATTERY,2020-03-07,135,3
1652,BURGLARY,2020-03-07,20,3
1645,CRIMINAL DAMAGE,2020-03-07,65,3
1655,CRIMINAL SEXUAL ASSAULT,2020-03-07,7,3
1653,CRIMINAL TRESPASS,2020-03-07,15,3
1647,DECEPTIVE PRACTICE,2020-03-07,36,3
1656,INTERFERENCE WITH PUBLIC OFFICER,2020-03-07,5,3
1662,LIQUOR LAW VIOLATION,2020-03-07,1,3
1654,MOTOR VEHICLE THEFT,2020-03-07,15,3
1650,NARCOTICS,2020-03-07,24,3
1657,OFFENSE INVOLVING CHILDREN,2020-03-07,4,3
1648,OTHER OFFENSE,2020-03-07,36,3
1659,PROSTITUTION,2020-03-07,4,3
1658,PUBLIC PEACE VIOLATION,2020-03-07,4,3
1649,ROBBERY,2020-03-07,26,3
1661,SEX OFFENSE,2020-03-07,2,3
1644,THEFT,2020-03-07,121,3
1651,WEAPONS VIOLATION,2020-03-07,22,3
869,ASSAULT,2020-03-08,57,3
866,BATTERY,2020-03-08,147,3
