,Date,Counts
0,2020-05-31,1895
1,2020-08-10,939
2,2020-05-30,923
3,2020-06-01,872
4,2020-02-01,791
5,2020-02-03,743
6,2020-07-04,740
7,2020-03-01,710
8,2020-07-05,707
9,2020-03-06,705
10,2020-01-31,705
11,2020-01-27,696
12,2020-02-07,692
13,2020-08-31,691
14,2020-07-03,682
15,2020-02-22,682
16,2020-01-28,680
17,2020-06-02,676
18,2020-07-01,674
19,2020-03-13,672
20,2020-09-25,671
21,2020-07-10,670
22,2020-09-05,668
23,2020-10-10,667
24,2020-08-16,666
25,2020-06-22,666
26,2020-07-13,664
27,2020-01-25,664
28,2020-08-28,663
29,2020-02-18,663
30,2020-02-02,662
31,2020-08-08,661
32,2020-02-23,659
33,2020-08-30,659
34,2020-02-21,658
35,2020-01-24,657
36,2020-02-28,656
37,2020-11-06,656
38,2020-08-01,656
39,2020-09-11,655
40,2020-09-27,655
41,2020-07-17,653
42,2020-06-20,653
43,2020-10-09,653
44,2020-08-21,650
45,2020-11-04,650
46,2020-08-09,649
47,2020-07-18,648
48,2020-02-04,647
49,2020-10-11,646
50,2020-08-26,644
51,2020-07-25,644
52,2020-09-04,643
53,2020-08-29,643
54,2020-09-06,643
55,2020-08-22,642
56,2020-10-25,642
57,2020-07-26,641
58,2020-05-25,641
59,2020-07-20,640
60,2020-08-13,639
61,2020-08-17,639
62,2020-11-05,639
63,2020-02-11,638
64,2020-10-14,637
65,2020-08-14,635
66,2020-08-20,635
67,2020-08-24,634
68,2020-10-15,634
69,2020-03-08,634
70,2020-03-12,633
71,2020-07-02,632
72,2020-09-01,632
73,2020-03-03,632
74,2020-11-20,632
75,2020-02-05,631
76,2020-11-01,630
77,2020-08-25,630
78,2020-07-06,630
79,2020-07-21,630
80,2020-09-23,628
81,2020-02-10,628
82,2020-07-11,627
83,2020-02-12,627
84,2020-09-26,625
85,2020-02-08,625
86,2020-07-31,624
87,2020-08-15,624
88,2020-08-23,624
89,2020-03-04,624
90,2020-08-19,624
91,2020-07-19,623
92,2020-06-03,622
93,2020-07-24,622
94,2020-06-28,622
95,2020-07-28,620
96,2020-02-16,618
97,2020-09-16,617
98,2020-01-29,617
99,2020-10-31,617
100,2020-11-07,617
101,2020-03-14,616
102,2020-01-30,616
103,2020-07-29,616
104,2020-11-09,615
105,2020-08-18,614
106,2020-07-27,614
107,2020-10-17,613
108,2020-10-30,613
109,2020-06-25,611
110,2020-07-22,610
111,2020-11-03,609
112,2020-01-26,605
113,2020-10-07,604
114,2020-06-12,603
115,2020-08-06,603
116,2020-10-03,603
117,2020-06-17,600
118,2020-10-22,600
119,2020-08-03,599
120,2020-02-20,599
121,2020-07-14,599
122,2020-03-02,598
123,2020-07-30,598
124,2020-02-26,598
125,2020-12-21,598
126,2020-02-17,598
127,2020-02-24,598
128,2020-09-15,597
129,2020-07-15,597
130,2020-07-12,596
131,2020-08-12,596
132,2020-09-07,596
133,2020-06-18,595
134,2020-06-19,594
135,2020-10-06,593
136,2020-01-23,593
137,2020-06-21,593
138,2020-09-20,592
139,2020-02-15,591
140,2020-07-16,591
141,2020-08-07,591
142,2020-11-02,591
143,2020-08-11,590
144,2020-11-08,590
145,2020-11-10,590
146,2020-03-07,588
147,2020-08-27,588
148,2020-02-29,587
149,2020-03-05,587
150,2020-10-01,587
151,2020-03-11,587
152,2020-09-14,586
153,2020-10-13,586
154,2020-03-15,586
155,2020-09-19,585
156,2020-02-14,584
157,2020-10-04,581
158,2020-09-13,581
159,2020-05-29,580
160,2020-02-19,580
161,2020-10-29,580
162,2020-06-24,580
163,2020-06-27,579
164,2020-10-21,578
165,2020-09-18,577
166,2021-01-01,576
167,2020-05-26,576
168,2020-10-23,576
169,2020-05-16,576
170,2020-03-17,574
171,2020-09-30,574
172,2020-08-05,573
173,2020-06-23,573
174,2020-06-15,571
175,2020-03-09,571
176,2020-05-27,570
177,2020-11-27,570
178,2020-06-30,569
179,2020-12-04,569
180,2020-09-02,568
181,2020-09-24,568
182,2020-10-16,568
183,2020-05-24,567
184,2020-09-03,567
185,2020-10-12,566
186,2020-10-05,566
187,2020-02-27,565
188,2020-09-10,565
189,2020-08-02,564
190,2020-07-23,563
191,2020-03-10,563
192,2020-12-22,562
193,2020-02-09,561
194,2020-12-10,561
195,2020-01-22,559
196,2020-09-12,559
197,2020-12-23,557
198,2021-01-08,557
199,2020-09-21,557
200,2020-12-06,556
201,2020-10-18,555
202,2020-05-01,554
203,2020-07-09,554
204,2020-02-06,554
205,2020-10-08,554
206,2020-06-26,553
207,2020-06-07,553
208,2020-07-08,552
209,2020-06-29,552
210,2020-10-02,551
211,2020-05-23,551
212,2020-12-18,550
