 PRIMARY DESCRIPTION,Date,Counts
ASSAULT,2020-01-22,52
BATTERY,2020-01-22,110
BURGLARY,2020-01-22,25
CONCEALED CARRY LICENSE VIOLATION,2020-01-22,1
CRIM SEXUAL ASSAULT,2020-01-22,1
CRIMINAL DAMAGE,2020-01-22,43
CRIMINAL SEXUAL ASSAULT,2020-01-22,2
CRIMINAL TRESPASS,2020-01-22,14
DECEPTIVE PRACTICE,2020-01-22,43
HOMICIDE,2020-01-22,1
INTERFERENCE WITH PUBLIC OFFICER,2020-01-22,4
INTIMIDATION,2020-01-22,1
KIDNAPPING,2020-01-22,1
MOTOR VEHICLE THEFT,2020-01-22,19
NARCOTICS,2020-01-22,41
OFFENSE INVOLVING CHILDREN,2020-01-22,14
OTHER OFFENSE,2020-01-22,37
PUBLIC PEACE VIOLATION,2020-01-22,1
ROBBERY,2020-01-22,22
SEX OFFENSE,2020-01-22,5
THEFT,2020-01-22,111
WEAPONS VIOLATION,2020-01-22,9
ASSAULT,2020-01-23,49
BATTERY,2020-01-23,105
BURGLARY,2020-01-23,25
CRIM SEXUAL ASSAULT,2020-01-23,1
CRIMINAL DAMAGE,2020-01-23,37
CRIMINAL SEXUAL ASSAULT,2020-01-23,2
CRIMINAL TRESPASS,2020-01-23,25
DECEPTIVE PRACTICE,2020-01-23,42
HOMICIDE,2020-01-23,1
INTERFERENCE WITH PUBLIC OFFICER,2020-01-23,4
MOTOR VEHICLE THEFT,2020-01-23,12
NARCOTICS,2020-01-23,57
OFFENSE INVOLVING CHILDREN,2020-01-23,6
OTHER NARCOTIC VIOLATION,2020-01-23,1
OTHER OFFENSE,2020-01-23,37
PROSTITUTION,2020-01-23,1
PUBLIC PEACE VIOLATION,2020-01-23,5
ROBBERY,2020-01-23,31
SEX OFFENSE,2020-01-23,4
THEFT,2020-01-23,137
WEAPONS VIOLATION,2020-01-23,9
ASSAULT,2020-01-24,49
BATTERY,2020-01-24,100
BURGLARY,2020-01-24,22
CRIM SEXUAL ASSAULT,2020-01-24,1
CRIMINAL DAMAGE,2020-01-24,62
CRIMINAL SEXUAL ASSAULT,2020-01-24,3
CRIMINAL TRESPASS,2020-01-24,22
DECEPTIVE PRACTICE,2020-01-24,49
HOMICIDE,2020-01-24,1
INTERFERENCE WITH PUBLIC OFFICER,2020-01-24,4
KIDNAPPING,2020-01-24,2
MOTOR VEHICLE THEFT,2020-01-24,19
NARCOTICS,2020-01-24,34
OFFENSE INVOLVING CHILDREN,2020-01-24,13
OTHER OFFENSE,2020-01-24,49
PROSTITUTION,2020-01-24,2
PUBLIC PEACE VIOLATION,2020-01-24,8
ROBBERY,2020-01-24,23
SEX OFFENSE,2020-01-24,1
STALKING,2020-01-24,1
THEFT,2020-01-24,172
WEAPONS VIOLATION,2020-01-24,20
ASSAULT,2020-01-25,43
BATTERY,2020-01-25,129
BURGLARY,2020-01-25,28
CONCEALED CARRY LICENSE VIOLATION,2020-01-25,1
CRIMINAL DAMAGE,2020-01-25,48
CRIMINAL SEXUAL ASSAULT,2020-01-25,4
CRIMINAL TRESPASS,2020-01-25,14
DECEPTIVE PRACTICE,2020-01-25,53
HOMICIDE,2020-01-25,1
INTERFERENCE WITH PUBLIC OFFICER,2020-01-25,4
KIDNAPPING,2020-01-25,3
LIQUOR LAW VIOLATION,2020-01-25,2
MOTOR VEHICLE THEFT,2020-01-25,16
NARCOTICS,2020-01-25,52
OFFENSE INVOLVING CHILDREN,2020-01-25,6
OTHER OFFENSE,2020-01-25,52
PROSTITUTION,2020-01-25,7
PUBLIC PEACE VIOLATION,2020-01-25,6
ROBBERY,2020-01-25,25
SEX OFFENSE,2020-01-25,4
THEFT,2020-01-25,142
WEAPONS VIOLATION,2020-01-25,22
ASSAULT,2020-01-26,44
