, PRIMARY DESCRIPTION,Date,Counts,Cases - Total
0,ARSON,2020-03-01,1,0
1,ASSAULT,2020-03-01,46,0
2,BATTERY,2020-03-01,147,0
3,BURGLARY,2020-03-01,15,0
4,CONCEALED CARRY LICENSE VIOLATION,2020-03-01,2,0
5,CRIMINAL DAMAGE,2020-03-01,102,0
6,CRIMINAL SEXUAL ASSAULT,2020-03-01,13,0
7,CRIMINAL TRESPASS,2020-03-01,10,0
8,DECEPTIVE PRACTICE,2020-03-01,47,0
9,HOMICIDE,2020-03-01,2,0
10,INTERFERENCE WITH PUBLIC OFFICER,2020-03-01,2,0
11,MOTOR VEHICLE THEFT,2020-03-01,23,0
12,NARCOTICS,2020-03-01,41,0
13,OFFENSE INVOLVING CHILDREN,2020-03-01,15,0
14,OTHER OFFENSE,2020-03-01,54,0
15,PUBLIC PEACE VIOLATION,2020-03-01,4,0
16,ROBBERY,2020-03-01,17,0
17,SEX OFFENSE,2020-03-01,9,0
18,STALKING,2020-03-01,2,0
19,THEFT,2020-03-01,133,0
20,WEAPONS VIOLATION,2020-03-01,21,0
21,ASSAULT,2020-03-02,52,0
22,BATTERY,2020-03-02,103,0
23,BURGLARY,2020-03-02,14,0
24,CONCEALED CARRY LICENSE VIOLATION,2020-03-02,1,0
25,CRIMINAL DAMAGE,2020-03-02,66,0
26,CRIMINAL SEXUAL ASSAULT,2020-03-02,5,0
27,CRIMINAL TRESPASS,2020-03-02,14,0
28,DECEPTIVE PRACTICE,2020-03-02,45,0
29,HOMICIDE,2020-03-02,3,0
30,INTERFERENCE WITH PUBLIC OFFICER,2020-03-02,7,0
31,INTIMIDATION,2020-03-02,2,0
32,KIDNAPPING,2020-03-02,1,0
33,LIQUOR LAW VIOLATION,2020-03-02,1,0
34,MOTOR VEHICLE THEFT,2020-03-02,17,0
35,NARCOTICS,2020-03-02,31,0
36,OFFENSE INVOLVING CHILDREN,2020-03-02,4,0
37,OTHER NARCOTIC VIOLATION,2020-03-02,1,0
38,OTHER OFFENSE,2020-03-02,43,0
39,PUBLIC PEACE VIOLATION,2020-03-02,4,0
40,ROBBERY,2020-03-02,15,0
41,SEX OFFENSE,2020-03-02,2,0
42,THEFT,2020-03-02,142,0
43,WEAPONS VIOLATION,2020-03-02,19,0
44,ASSAULT,2020-03-03,60,0
45,BATTERY,2020-03-03,107,0
46,BURGLARY,2020-03-03,24,0
47,CONCEALED CARRY LICENSE VIOLATION,2020-03-03,1,0
48,CRIMINAL DAMAGE,2020-03-03,59,0
49,CRIMINAL SEXUAL ASSAULT,2020-03-03,5,0
50,CRIMINAL TRESPASS,2020-03-03,23,0
51,DECEPTIVE PRACTICE,2020-03-03,61,0
52,HOMICIDE,2020-03-03,2,0
53,INTERFERENCE WITH PUBLIC OFFICER,2020-03-03,4,0
54,MOTOR VEHICLE THEFT,2020-03-03,18,0
55,NARCOTICS,2020-03-03,40,0
56,OFFENSE INVOLVING CHILDREN,2020-03-03,7,0
57,OTHER OFFENSE,2020-03-03,39,0
58,ROBBERY,2020-03-03,7,0
59,SEX OFFENSE,2020-03-03,1,0
60,THEFT,2020-03-03,152,0
61,WEAPONS VIOLATION,2020-03-03,20,0
62,ARSON,2020-03-04,1,0
63,ASSAULT,2020-03-04,68,0
64,BATTERY,2020-03-04,109,0
65,BURGLARY,2020-03-04,17,0
66,CRIMINAL DAMAGE,2020-03-04,57,0
67,CRIMINAL SEXUAL ASSAULT,2020-03-04,1,0
68,CRIMINAL TRESPASS,2020-03-04,17,0
69,DECEPTIVE PRACTICE,2020-03-04,48,0
70,GAMBLING,2020-03-04,1,0
71,INTERFERENCE WITH PUBLIC OFFICER,2020-03-04,3,0
72,KIDNAPPING,2020-03-04,2,0
73,LIQUOR LAW VIOLATION,2020-03-04,1,0
74,MOTOR VEHICLE THEFT,2020-03-04,13,0
75,NARCOTICS,2020-03-04,42,0
76,OFFENSE INVOLVING CHILDREN,2020-03-04,8,0
77,OTHER OFFENSE,2020-03-04,51,0
78,PROSTITUTION,2020-03-04,1,0
79,PUBLIC PEACE VIOLATION,2020-03-04,2,0
80,ROBBERY,2020-03-04,23,0
81,SEX OFFENSE,2020-03-04,3,0
82,STALKING,2020-03-04,1,0
83,THEFT,2020-03-04,144,0
84,WEAPONS VIOLATION,2020-03-04,6,0
85,ASSAULT,2020-03-05,48,1
86,BATTERY,2020-03-05,110,1
87,BURGLARY,2020-03-05,15,1
88,CONCEALED CARRY LICENSE VIOLATION,2020-03-05,1,1
89,CRIMINAL DAMAGE,2020-03-05,59,1
90,CRIMINAL SEXUAL ASSAULT,2020-03-05,2,1
91,CRIMINAL TRESPASS,2020-03-05,10,1
92,DECEPTIVE PRACTICE,2020-03-05,37,1
93,GAMBLING,2020-03-05,1,1
94,HOMICIDE,2020-03-05,2,1
95,INTERFERENCE WITH PUBLIC OFFICER,2020-03-05,8,1
96,LIQUOR LAW VIOLATION,2020-03-05,1,1
97,MOTOR VEHICLE THEFT,2020-03-05,20,1
98,NARCOTICS,2020-03-05,39,1
99,OFFENSE INVOLVING CHILDREN,2020-03-05,10,1
100,OTHER OFFENSE,2020-03-05,42,1
101,PROSTITUTION,2020-03-05,6,1
102,PUBLIC PEACE VIOLATION,2020-03-05,5,1
103,ROBBERY,2020-03-05,12,1
104,SEX OFFENSE,2020-03-05,3,1
105,THEFT,2020-03-05,139,1
106,WEAPONS VIOLATION,2020-03-05,13,1
107,ARSON,2020-03-06,1,3
108,ASSAULT,2020-03-06,54,3
109,BATTERY,2020-03-06,137,3
110,BURGLARY,2020-03-06,23,3
111,CONCEALED CARRY LICENSE VIOLATION,2020-03-06,1,3
112,CRIMINAL DAMAGE,2020-03-06,66,3
113,CRIMINAL SEXUAL ASSAULT,2020-03-06,5,3
114,CRIMINAL TRESPASS,2020-03-06,18,3
115,DECEPTIVE PRACTICE,2020-03-06,54,3
116,HOMICIDE,2020-03-06,1,3
117,INTERFERENCE WITH PUBLIC OFFICER,2020-03-06,4,3
118,LIQUOR LAW VIOLATION,2020-03-06,1,3
119,MOTOR VEHICLE THEFT,2020-03-06,32,3
120,NARCOTICS,2020-03-06,42,3
121,OFFENSE INVOLVING CHILDREN,2020-03-06,9,3
122,OTHER OFFENSE,2020-03-06,52,3
123,PUBLIC PEACE VIOLATION,2020-03-06,6,3
124,ROBBERY,2020-03-06,21,3
125,SEX OFFENSE,2020-03-06,3,3
126,STALKING,2020-03-06,1,3
127,THEFT,2020-03-06,153,3
128,WEAPONS VIOLATION,2020-03-06,20,3
129,ARSON,2020-03-07,2,3
130,ASSAULT,2020-03-07,44,3
131,BATTERY,2020-03-07,135,3
132,BURGLARY,2020-03-07,20,3
133,CRIMINAL DAMAGE,2020-03-07,65,3
134,CRIMINAL SEXUAL ASSAULT,2020-03-07,7,3
135,CRIMINAL TRESPASS,2020-03-07,15,3
136,DECEPTIVE PRACTICE,2020-03-07,34,3
137,INTERFERENCE WITH PUBLIC OFFICER,2020-03-07,5,3
138,LIQUOR LAW VIOLATION,2020-03-07,1,3
139,MOTOR VEHICLE THEFT,2020-03-07,15,3
140,NARCOTICS,2020-03-07,24,3
141,OFFENSE INVOLVING CHILDREN,2020-03-07,4,3
142,OTHER OFFENSE,2020-03-07,36,3
143,PROSTITUTION,2020-03-07,4,3
144,PUBLIC PEACE VIOLATION,2020-03-07,4,3
145,ROBBERY,2020-03-07,26,3
146,SEX OFFENSE,2020-03-07,2,3
147,THEFT,2020-03-07,121,3
148,WEAPONS VIOLATION,2020-03-07,22,3
149,ASSAULT,2020-03-08,57,3
150,BATTERY,2020-03-08,147,3
151,BURGLARY,2020-03-08,19,3
152,CONCEALED CARRY LICENSE VIOLATION,2020-03-08,1,3
153,CRIMINAL DAMAGE,2020-03-08,74,3
154,CRIMINAL SEXUAL ASSAULT,2020-03-08,6,3
155,CRIMINAL TRESPASS,2020-03-08,16,3
156,DECEPTIVE PRACTICE,2020-03-08,22,3
157,HOMICIDE,2020-03-08,1,3
158,INTERFERENCE WITH PUBLIC OFFICER,2020-03-08,6,3
159,MOTOR VEHICLE THEFT,2020-03-08,21,3
160,NARCOTICS,2020-03-08,40,3
161,OBSCENITY,2020-03-08,1,3
162,OFFENSE INVOLVING CHILDREN,2020-03-08,2,3
163,OTHER OFFENSE,2020-03-08,36,3
164,PUBLIC PEACE VIOLATION,2020-03-08,3,3
165,ROBBERY,2020-03-08,17,3
166,SEX OFFENSE,2020-03-08,1,3
167,STALKING,2020-03-08,1,3
168,THEFT,2020-03-08,135,3
169,WEAPONS VIOLATION,2020-03-08,25,3
170,ASSAULT,2020-03-09,48,5
171,BATTERY,2020-03-09,124,5
172,BURGLARY,2020-03-09,21,5
173,CRIMINAL DAMAGE,2020-03-09,49,5
174,CRIMINAL SEXUAL ASSAULT,2020-03-09,3,5
175,CRIMINAL TRESPASS,2020-03-09,12,5
176,DECEPTIVE PRACTICE,2020-03-09,29,5
177,HOMICIDE,2020-03-09,1,5
178,INTERFERENCE WITH PUBLIC OFFICER,2020-03-09,1,5
179,INTIMIDATION,2020-03-09,1,5
180,MOTOR VEHICLE THEFT,2020-03-09,24,5
181,NARCOTICS,2020-03-09,33,5
182,OFFENSE INVOLVING CHILDREN,2020-03-09,12,5
183,OTHER OFFENSE,2020-03-09,40,5
184,PROSTITUTION,2020-03-09,3,5
185,PUBLIC PEACE VIOLATION,2020-03-09,1,5
186,ROBBERY,2020-03-09,18,5
187,SEX OFFENSE,2020-03-09,3,5
188,STALKING,2020-03-09,1,5
189,THEFT,2020-03-09,127,5
190,WEAPONS VIOLATION,2020-03-09,16,5
191,ASSAULT,2020-03-10,49,11
192,BATTERY,2020-03-10,106,11
193,BURGLARY,2020-03-10,14,11
194,CONCEALED CARRY LICENSE VIOLATION,2020-03-10,1,11
195,CRIMINAL DAMAGE,2020-03-10,48,11
196,CRIMINAL SEXUAL ASSAULT,2020-03-10,5,11
197,CRIMINAL TRESPASS,2020-03-10,14,11
198,DECEPTIVE PRACTICE,2020-03-10,35,11
199,HOMICIDE,2020-03-10,1,11
200,INTERFERENCE WITH PUBLIC OFFICER,2020-03-10,5,11
201,LIQUOR LAW VIOLATION,2020-03-10,1,11
202,MOTOR VEHICLE THEFT,2020-03-10,25,11
203,NARCOTICS,2020-03-10,43,11
204,OFFENSE INVOLVING CHILDREN,2020-03-10,7,11
205,OTHER OFFENSE,2020-03-10,45,11
206,PROSTITUTION,2020-03-10,4,11
207,PUBLIC PEACE VIOLATION,2020-03-10,1,11
208,ROBBERY,2020-03-10,9,11
209,SEX OFFENSE,2020-03-10,2,11
210,STALKING,2020-03-10,2,11
211,THEFT,2020-03-10,129,11
212,WEAPONS VIOLATION,2020-03-10,15,11
213,ARSON,2020-03-11,1,12
214,ASSAULT,2020-03-11,63,12
215,BATTERY,2020-03-11,100,12
216,BURGLARY,2020-03-11,15,12
217,CRIMINAL DAMAGE,2020-03-11,59,12
218,CRIMINAL SEXUAL ASSAULT,2020-03-11,3,12
219,CRIMINAL TRESPASS,2020-03-11,16,12
220,DECEPTIVE PRACTICE,2020-03-11,33,12
221,INTERFERENCE WITH PUBLIC OFFICER,2020-03-11,2,12
222,LIQUOR LAW VIOLATION,2020-03-11,1,12
223,MOTOR VEHICLE THEFT,2020-03-11,17,12
224,NARCOTICS,2020-03-11,39,12
225,OFFENSE INVOLVING CHILDREN,2020-03-11,3,12
226,OTHER OFFENSE,2020-03-11,46,12
227,PUBLIC PEACE VIOLATION,2020-03-11,3,12
228,ROBBERY,2020-03-11,12,12
229,SEX OFFENSE,2020-03-11,2,12
230,STALKING,2020-03-11,1,12
231,THEFT,2020-03-11,157,12
232,WEAPONS VIOLATION,2020-03-11,10,12
233,ASSAULT,2020-03-12,60,21
234,BATTERY,2020-03-12,134,21
235,BURGLARY,2020-03-12,16,21
236,CRIMINAL DAMAGE,2020-03-12,60,21
237,CRIMINAL SEXUAL ASSAULT,2020-03-12,4,21
238,CRIMINAL TRESPASS,2020-03-12,25,21
239,DECEPTIVE PRACTICE,2020-03-12,42,21
240,INTERFERENCE WITH PUBLIC OFFICER,2020-03-12,5,21
241,MOTOR VEHICLE THEFT,2020-03-12,21,21
242,NARCOTICS,2020-03-12,49,21
243,OFFENSE INVOLVING CHILDREN,2020-03-12,6,21
244,OTHER OFFENSE,2020-03-12,54,21
245,PUBLIC PEACE VIOLATION,2020-03-12,9,21
246,ROBBERY,2020-03-12,12,21
247,SEX OFFENSE,2020-03-12,2,21
248,THEFT,2020-03-12,117,21
249,WEAPONS VIOLATION,2020-03-12,13,21
250,ARSON,2020-03-13,3,32
251,ASSAULT,2020-03-13,52,32
252,BATTERY,2020-03-13,129,32
253,BURGLARY,2020-03-13,23,32
254,CRIMINAL DAMAGE,2020-03-13,81,32
255,CRIMINAL SEXUAL ASSAULT,2020-03-13,5,32
256,CRIMINAL TRESPASS,2020-03-13,14,32
257,DECEPTIVE PRACTICE,2020-03-13,44,32
258,HOMICIDE,2020-03-13,1,32
259,INTERFERENCE WITH PUBLIC OFFICER,2020-03-13,4,32
260,INTIMIDATION,2020-03-13,1,32
261,LIQUOR LAW VIOLATION,2020-03-13,2,32
262,MOTOR VEHICLE THEFT,2020-03-13,24,32
263,NARCOTICS,2020-03-13,46,32
264,OFFENSE INVOLVING CHILDREN,2020-03-13,3,32
265,OTHER OFFENSE,2020-03-13,40,32
266,PUBLIC PEACE VIOLATION,2020-03-13,2,32
267,ROBBERY,2020-03-13,28,32
268,SEX OFFENSE,2020-03-13,2,32
269,STALKING,2020-03-13,1,32
270,THEFT,2020-03-13,147,32
271,WEAPONS VIOLATION,2020-03-13,18,32
272,ASSAULT,2020-03-14,52,31
273,BATTERY,2020-03-14,153,31
274,BURGLARY,2020-03-14,18,31
275,CONCEALED CARRY LICENSE VIOLATION,2020-03-14,1,31
276,CRIMINAL DAMAGE,2020-03-14,60,31
277,CRIMINAL SEXUAL ASSAULT,2020-03-14,5,31
278,CRIMINAL TRESPASS,2020-03-14,16,31
279,DECEPTIVE PRACTICE,2020-03-14,27,31
280,HOMICIDE,2020-03-14,3,31
281,INTERFERENCE WITH PUBLIC OFFICER,2020-03-14,5,31
282,KIDNAPPING,2020-03-14,1,31
283,LIQUOR LAW VIOLATION,2020-03-14,1,31
284,MOTOR VEHICLE THEFT,2020-03-14,38,31
285,NARCOTICS,2020-03-14,35,31
286,OFFENSE INVOLVING CHILDREN,2020-03-14,3,31
287,OTHER OFFENSE,2020-03-14,29,31
288,PUBLIC PEACE VIOLATION,2020-03-14,5,31
289,ROBBERY,2020-03-14,14,31
290,SEX OFFENSE,2020-03-14,5,31
291,STALKING,2020-03-14,1,31
292,THEFT,2020-03-14,124,31
293,WEAPONS VIOLATION,2020-03-14,19,31
294,ASSAULT,2020-03-15,47,40
295,BATTERY,2020-03-15,152,40
296,BURGLARY,2020-03-15,27,40
297,CONCEALED CARRY LICENSE VIOLATION,2020-03-15,1,40
298,CRIMINAL DAMAGE,2020-03-15,68,40
299,CRIMINAL SEXUAL ASSAULT,2020-03-15,3,40
300,CRIMINAL TRESPASS,2020-03-15,16,40
301,DECEPTIVE PRACTICE,2020-03-15,36,40
302,HOMICIDE,2020-03-15,1,40
303,INTERFERENCE WITH PUBLIC OFFICER,2020-03-15,1,40
304,MOTOR VEHICLE THEFT,2020-03-15,16,40
305,NARCOTICS,2020-03-15,22,40
306,OFFENSE INVOLVING CHILDREN,2020-03-15,6,40
307,OTHER OFFENSE,2020-03-15,35,40
308,PUBLIC PEACE VIOLATION,2020-03-15,3,40
309,ROBBERY,2020-03-15,15,40
310,SEX OFFENSE,2020-03-15,7,40
311,STALKING,2020-03-15,1,40
312,THEFT,2020-03-15,114,40
313,WEAPONS VIOLATION,2020-03-15,14,40
314,ARSON,2020-03-16,2,78
315,ASSAULT,2020-03-16,50,78
316,BATTERY,2020-03-16,101,78
317,BURGLARY,2020-03-16,17,78
318,CRIMINAL DAMAGE,2020-03-16,53,78
319,CRIMINAL SEXUAL ASSAULT,2020-03-16,1,78
320,CRIMINAL TRESPASS,2020-03-16,11,78
321,DECEPTIVE PRACTICE,2020-03-16,40,78
322,HOMICIDE,2020-03-16,2,78
323,INTERFERENCE WITH PUBLIC OFFICER,2020-03-16,4,78
324,LIQUOR LAW VIOLATION,2020-03-16,1,78
325,MOTOR VEHICLE THEFT,2020-03-16,20,78
326,NARCOTICS,2020-03-16,29,78
327,OFFENSE INVOLVING CHILDREN,2020-03-16,6,78
328,OTHER NARCOTIC VIOLATION,2020-03-16,1,78
329,OTHER OFFENSE,2020-03-16,36,78
330,PUBLIC PEACE VIOLATION,2020-03-16,1,78
331,ROBBERY,2020-03-16,13,78
332,SEX OFFENSE,2020-03-16,3,78
333,STALKING,2020-03-16,1,78
334,THEFT,2020-03-16,118,78
335,WEAPONS VIOLATION,2020-03-16,12,78
336,ARSON,2020-03-17,2,96
337,ASSAULT,2020-03-17,48,96
338,BATTERY,2020-03-17,112,96
339,BURGLARY,2020-03-17,14,96
340,CRIMINAL DAMAGE,2020-03-17,64,96
341,CRIMINAL SEXUAL ASSAULT,2020-03-17,2,96
342,CRIMINAL TRESPASS,2020-03-17,17,96
343,DECEPTIVE PRACTICE,2020-03-17,42,96
344,GAMBLING,2020-03-17,2,96
345,INTERFERENCE WITH PUBLIC OFFICER,2020-03-17,3,96
346,KIDNAPPING,2020-03-17,1,96
347,MOTOR VEHICLE THEFT,2020-03-17,21,96
348,NARCOTICS,2020-03-17,29,96
349,OFFENSE INVOLVING CHILDREN,2020-03-17,5,96
350,OTHER OFFENSE,2020-03-17,43,96
351,PUBLIC INDECENCY,2020-03-17,1,96
352,PUBLIC PEACE VIOLATION,2020-03-17,5,96
353,ROBBERY,2020-03-17,21,96
354,THEFT,2020-03-17,116,96
355,WEAPONS VIOLATION,2020-03-17,20,96
356,ASSAULT,2020-03-18,54,162
357,BATTERY,2020-03-18,107,162
358,BURGLARY,2020-03-18,17,162
359,CRIMINAL DAMAGE,2020-03-18,64,162
360,CRIMINAL SEXUAL ASSAULT,2020-03-18,1,162
361,CRIMINAL TRESPASS,2020-03-18,16,162
362,DECEPTIVE PRACTICE,2020-03-18,21,162
363,HOMICIDE,2020-03-18,1,162
364,INTERFERENCE WITH PUBLIC OFFICER,2020-03-18,5,162
365,MOTOR VEHICLE THEFT,2020-03-18,24,162
366,NARCOTICS,2020-03-18,23,162
367,OFFENSE INVOLVING CHILDREN,2020-03-18,3,162
368,OTHER OFFENSE,2020-03-18,36,162
369,PUBLIC PEACE VIOLATION,2020-03-18,3,162
370,ROBBERY,2020-03-18,21,162
371,SEX OFFENSE,2020-03-18,6,162
372,THEFT,2020-03-18,107,162
373,WEAPONS VIOLATION,2020-03-18,15,162
374,ASSAULT,2020-03-19,39,184
375,BATTERY,2020-03-19,109,184
376,BURGLARY,2020-03-19,32,184
377,CRIMINAL DAMAGE,2020-03-19,52,184
378,CRIMINAL TRESPASS,2020-03-19,5,184
379,DECEPTIVE PRACTICE,2020-03-19,29,184
380,MOTOR VEHICLE THEFT,2020-03-19,32,184
381,NARCOTICS,2020-03-19,17,184
382,OFFENSE INVOLVING CHILDREN,2020-03-19,5,184
383,OTHER OFFENSE,2020-03-19,26,184
384,ROBBERY,2020-03-19,18,184
385,SEX OFFENSE,2020-03-19,2,184
386,STALKING,2020-03-19,1,184
387,THEFT,2020-03-19,89,184
388,WEAPONS VIOLATION,2020-03-19,12,184
389,ARSON,2020-03-20,2,155
390,ASSAULT,2020-03-20,39,155
391,BATTERY,2020-03-20,118,155
392,BURGLARY,2020-03-20,18,155
393,CRIMINAL DAMAGE,2020-03-20,77,155
394,CRIMINAL SEXUAL ASSAULT,2020-03-20,5,155
395,CRIMINAL TRESPASS,2020-03-20,6,155
396,DECEPTIVE PRACTICE,2020-03-20,37,155
397,INTERFERENCE WITH PUBLIC OFFICER,2020-03-20,1,155
398,MOTOR VEHICLE THEFT,2020-03-20,19,155
399,NARCOTICS,2020-03-20,6,155
400,OFFENSE INVOLVING CHILDREN,2020-03-20,4,155
401,OTHER OFFENSE,2020-03-20,29,155
402,ROBBERY,2020-03-20,18,155
403,STALKING,2020-03-20,1,155
404,THEFT,2020-03-20,98,155
405,WEAPONS VIOLATION,2020-03-20,8,155
406,ARSON,2020-03-21,2,125
407,ASSAULT,2020-03-21,53,125
408,BATTERY,2020-03-21,106,125
409,BURGLARY,2020-03-21,16,125
410,CRIMINAL DAMAGE,2020-03-21,54,125
411,CRIMINAL SEXUAL ASSAULT,2020-03-21,3,125
412,CRIMINAL TRESPASS,2020-03-21,4,125
413,DECEPTIVE PRACTICE,2020-03-21,26,125
414,KIDNAPPING,2020-03-21,1,125
415,MOTOR VEHICLE THEFT,2020-03-21,18,125
416,NARCOTICS,2020-03-21,6,125
417,OFFENSE INVOLVING CHILDREN,2020-03-21,7,125
418,OTHER OFFENSE,2020-03-21,24,125
419,PUBLIC PEACE VIOLATION,2020-03-21,1,125
420,ROBBERY,2020-03-21,15,125
421,SEX OFFENSE,2020-03-21,1,125
422,THEFT,2020-03-21,80,125
423,WEAPONS VIOLATION,2020-03-21,18,125
424,ASSAULT,2020-03-22,29,168
425,BATTERY,2020-03-22,104,168
