,DOMESTIC,Date,Counts,Cases - Total
0,Y,2020-03-01,141,0
1,Y,2020-03-02,107,0
2,Y,2020-03-03,115,0
3,Y,2020-03-04,109,0
4,Y,2020-03-05,94,1
5,Y,2020-03-06,118,3
6,Y,2020-03-07,118,3
7,Y,2020-03-08,100,3
8,Y,2020-03-09,113,5
9,Y,2020-03-10,86,11
10,Y,2020-03-11,104,12
11,Y,2020-03-12,115,21
12,Y,2020-03-13,109,32
13,Y,2020-03-14,122,31
14,Y,2020-03-15,127,40
15,Y,2020-03-16,101,78
16,Y,2020-03-17,97,96
17,Y,2020-03-18,116,162
18,Y,2020-03-19,102,184
19,Y,2020-03-20,108,155
20,Y,2020-03-21,113,125
21,Y,2020-03-22,122,168
22,Y,2020-03-23,86,291
23,Y,2020-03-24,115,350
24,Y,2020-03-25,92,367
25,Y,2020-03-26,87,413
26,Y,2020-03-27,96,404
27,Y,2020-03-28,117,249
28,Y,2020-03-29,126,282
29,Y,2020-03-30,80,439
30,Y,2020-03-31,94,489
31,Y,2020-04-01,99,459
32,Y,2020-04-02,83,438
33,Y,2020-04-03,111,466
34,Y,2020-04-04,96,326
35,Y,2020-04-05,101,292
36,Y,2020-04-06,92,583
37,Y,2020-04-07,92,555
38,Y,2020-04-08,110,704
39,Y,2020-04-09,89,577
40,Y,2020-04-10,73,571
41,Y,2020-04-11,109,398
42,Y,2020-04-12,88,341
43,Y,2020-04-13,96,692
44,Y,2020-04-14,71,663
45,Y,2020-04-15,80,629
46,Y,2020-04-16,69,680
47,Y,2020-04-17,79,773
48,Y,2020-04-18,96,535
49,Y,2020-04-19,77,459
50,Y,2020-04-20,98,989
51,Y,2020-04-21,96,870
52,Y,2020-04-22,74,1054
53,Y,2020-04-23,72,1466
54,Y,2020-04-24,82,1075
55,Y,2020-04-25,95,633
56,Y,2020-04-26,115,433
57,Y,2020-04-27,76,1156
58,Y,2020-04-28,113,1323
59,Y,2020-04-29,78,1152
60,Y,2020-04-30,84,1270
61,Y,2020-05-01,101,1170
62,Y,2020-05-02,86,717
63,Y,2020-05-03,111,467
64,Y,2020-05-04,91,1119
65,Y,2020-05-05,85,1091
66,Y,2020-05-06,93,974
67,Y,2020-05-07,92,939
68,Y,2020-05-08,91,924
69,Y,2020-05-09,98,521
70,Y,2020-05-10,129,307
71,Y,2020-05-11,80,1014
72,Y,2020-05-12,96,945
73,Y,2020-05-13,107,876
74,Y,2020-05-14,93,775
75,Y,2020-05-15,107,970
76,Y,2020-05-16,136,516
77,Y,2020-05-17,104,326
78,Y,2020-05-18,99,945
79,Y,2020-05-19,90,891
80,Y,2020-05-20,93,768
81,Y,2020-05-21,90,803
82,Y,2020-05-22,106,724
83,Y,2020-05-23,115,328
84,Y,2020-05-24,129,279
85,Y,2020-05-25,155,252
86,Y,2020-05-26,130,755
87,Y,2020-05-27,104,611
88,Y,2020-05-28,115,521
89,Y,2020-05-29,111,460
90,Y,2020-05-30,109,239
91,Y,2020-05-31,84,121
92,Y,2020-06-01,92,236
93,Y,2020-06-02,111,246
94,Y,2020-06-03,126,280
95,Y,2020-06-04,109,319
96,Y,2020-06-05,119,339
97,Y,2020-06-06,132,170
98,Y,2020-06-07,131,110
99,Y,2020-06-08,102,274
100,Y,2020-06-09,98,254
101,Y,2020-06-10,112,234
102,Y,2020-06-11,127,201
103,Y,2020-06-12,126,248
104,Y,2020-06-13,119,121
105,Y,2020-06-14,140,92
106,Y,2020-06-15,106,235
107,Y,2020-06-16,106,212
108,Y,2020-06-17,138,219
109,Y,2020-06-18,127,184
110,Y,2020-06-19,130,219
111,Y,2020-06-20,158,125
112,Y,2020-06-21,157,47
113,Y,2020-06-22,168,219
114,Y,2020-06-23,105,233
115,Y,2020-06-24,128,243
116,Y,2020-06-25,120,248
117,Y,2020-06-26,125,218
118,Y,2020-06-27,124,130
119,Y,2020-06-28,128,110
120,Y,2020-06-29,112,280
121,Y,2020-06-30,119,265
122,Y,2020-07-01,159,263
123,Y,2020-07-02,115,255
124,Y,2020-07-03,128,176
125,Y,2020-07-04,170,63
126,Y,2020-07-05,160,89
127,Y,2020-07-06,129,283
128,Y,2020-07-07,111,344
129,Y,2020-07-08,111,310
130,Y,2020-07-09,127,287
131,Y,2020-07-10,147,345
132,Y,2020-07-11,128,155
133,Y,2020-07-12,152,96
134,Y,2020-07-13,125,337
135,Y,2020-07-14,112,323
136,Y,2020-07-15,119,267
137,Y,2020-07-16,91,296
138,Y,2020-07-17,114,325
139,Y,2020-07-18,128,133
140,Y,2020-07-19,154,99
141,Y,2020-07-20,123,391
142,Y,2020-07-21,134,289
143,Y,2020-07-22,112,364
144,Y,2020-07-23,96,317
145,Y,2020-07-24,108,346
146,Y,2020-07-25,129,157
147,Y,2020-07-26,140,96
148,Y,2020-07-27,140,361
149,Y,2020-07-28,117,331
150,Y,2020-07-29,106,444
151,Y,2020-07-30,108,340
152,Y,2020-07-31,118,392
153,Y,2020-08-01,117,140
154,Y,2020-08-02,123,95
155,Y,2020-08-03,102,427
156,Y,2020-08-04,110,362
157,Y,2020-08-05,119,377
158,Y,2020-08-06,120,347
159,Y,2020-08-07,118,417
160,Y,2020-08-08,133,177
161,Y,2020-08-09,156,115
162,Y,2020-08-10,117,376
163,Y,2020-08-11,112,385
164,Y,2020-08-12,115,431
165,Y,2020-08-13,105,391
166,Y,2020-08-14,109,345
167,Y,2020-08-15,137,220
168,Y,2020-08-16,139,120
169,Y,2020-08-17,117,490
170,Y,2020-08-18,121,391
171,Y,2020-08-19,115,468
172,Y,2020-08-20,133,399
173,Y,2020-08-21,117,415
174,Y,2020-08-22,125,183
175,Y,2020-08-23,119,117
176,Y,2020-08-24,122,528
177,Y,2020-08-25,107,398
178,Y,2020-08-26,110,382
179,Y,2020-08-27,101,377
180,Y,2020-08-28,128,379
181,Y,2020-08-29,135,227
182,Y,2020-08-30,138,100
183,Y,2020-08-31,144,406
184,Y,2020-09-01,114,330
185,Y,2020-09-02,111,399
186,Y,2020-09-03,111,336
187,Y,2020-09-04,123,384
188,Y,2020-09-05,118,197
189,Y,2020-09-06,137,141
190,Y,2020-09-07,121,72
191,Y,2020-09-08,90,365
192,Y,2020-09-09,69,400
193,Y,2020-09-10,94,321
194,Y,2020-09-11,104,335
195,Y,2020-09-12,100,133
196,Y,2020-09-13,130,122
197,Y,2020-09-14,100,424
198,Y,2020-09-15,105,348
199,Y,2020-09-16,107,362
200,Y,2020-09-17,110,384
201,Y,2020-09-18,94,336
202,Y,2020-09-19,101,168
203,Y,2020-09-20,124,100
204,Y,2020-09-21,97,411
205,Y,2020-09-22,88,334
206,Y,2020-09-23,120,380
207,Y,2020-09-24,104,398
208,Y,2020-09-25,108,369
209,Y,2020-09-26,124,230
210,Y,2020-09-27,162,152
211,Y,2020-09-28,104,415
212,Y,2020-09-29,98,373
213,Y,2020-09-30,115,448
214,Y,2020-10-01,107,351
215,Y,2020-10-02,93,396
216,Y,2020-10-03,108,214
217,Y,2020-10-04,127,145
218,Y,2020-10-05,101,542
219,Y,2020-10-06,102,543
220,Y,2020-10-07,92,528
221,Y,2020-10-08,88,589
222,Y,2020-10-09,112,656
223,Y,2020-10-10,127,423
224,Y,2020-10-11,121,289
225,Y,2020-10-12,101,665
226,Y,2020-10-13,97,868
227,Y,2020-10-14,103,837
228,Y,2020-10-15,116,854
229,Y,2020-10-16,103,938
230,Y,2020-10-17,128,532
231,Y,2020-10-18,125,335
232,Y,2020-10-19,87,1152
233,Y,2020-10-20,76,1174
234,Y,2020-10-21,88,1153
235,Y,2020-10-22,95,1269
236,Y,2020-10-23,107,998
237,Y,2020-10-24,102,868
238,Y,2020-10-25,119,513
239,Y,2020-10-26,101,1525
240,Y,2020-10-27,85,1585
241,Y,2020-10-28,73,1704
242,Y,2020-10-29,88,1843
243,Y,2020-10-30,75,1836
244,Y,2020-10-31,111,1027
245,Y,2020-11-01,134,710
246,Y,2020-11-02,93,2286
247,Y,2020-11-03,88,2081
248,Y,2020-11-04,96,2441
249,Y,2020-11-05,106,2543
250,Y,2020-11-06,108,2714
251,Y,2020-11-07,108,1528
252,Y,2020-11-08,133,1100
253,Y,2020-11-09,122,3146
254,Y,2020-11-10,105,3289
255,Y,2020-11-11,90,2422
256,Y,2020-11-12,89,2881
257,Y,2020-11-13,90,2648
258,Y,2020-11-14,113,1372
259,Y,2020-11-15,105,811
260,Y,2020-11-16,91,2527
261,Y,2020-11-17,89,2403
262,Y,2020-11-18,75,2272
263,Y,2020-11-19,89,2090
264,Y,2020-11-20,126,2253
265,Y,2020-11-21,99,1254
266,Y,2020-11-22,104,771
267,Y,2020-11-23,105,2321
268,Y,2020-11-24,91,1892
269,Y,2020-11-25,88,1771
270,Y,2020-11-26,120,251
271,Y,2020-11-27,112,1190
272,Y,2020-11-28,88,1331
273,Y,2020-11-29,123,872
274,Y,2020-11-30,90,2315
275,Y,2020-12-01,79,2105
276,Y,2020-12-02,86,1974
277,Y,2020-12-03,63,1984
278,Y,2020-12-04,113,1753
279,Y,2020-12-05,103,1148
280,Y,2020-12-06,117,688
281,Y,2020-12-07,91,1985
282,Y,2020-12-08,82,1971
283,Y,2020-12-09,84,1688
284,Y,2020-12-10,85,1606
285,Y,2020-12-11,76,1587
286,Y,2020-12-12,117,874
287,Y,2020-12-13,122,583
288,Y,2020-12-14,97,1374
289,Y,2020-12-15,84,1562
290,Y,2020-12-16,108,1335
291,Y,2020-12-17,102,1292
292,Y,2020-12-18,95,1212
293,Y,2020-12-19,101,781
294,Y,2020-12-20,111,557
295,Y,2020-12-21,88,1380
296,Y,2020-12-22,87,1290
297,Y,2020-12-23,91,1121
298,Y,2020-12-24,132,566
299,Y,2020-12-25,153,149
300,Y,2020-12-26,110,893
301,Y,2020-12-27,109,572
302,Y,2020-12-28,116,1565
303,Y,2020-12-29,86,1597
304,Y,2020-12-30,98,1325
305,Y,2020-12-31,125,883
306,Y,2021-01-01,175,249
307,Y,2021-01-02,96,1014
308,Y,2021-01-03,113,581
309,Y,2021-01-04,97,1742
310,Y,2021-01-05,100,1465
311,Y,2021-01-06,81,1368
312,Y,2021-01-07,103,1240
313,Y,2021-01-08,119,1118
314,Y,2021-01-09,120,695
315,Y,2021-01-10,122,454
316,Y,2021-01-11,97,1227
317,Y,2021-01-12,101,992
318,Y,2021-01-13,95,1010
319,Y,2021-01-14,101,894
320,Y,2021-01-15,108,906
321,Y,2021-01-16,120,582
322,Y,2021-01-17,116,365
323,Y,2021-01-18,115,619
324,Y,2021-01-19,97,1004
325,Y,2021-01-20,83,735
