Date,Counts,Week
2020-01-22,557,4
2020-01-23,591,4
2020-01-24,657,4
2020-01-25,662,4
2020-01-26,605,4
2020-01-27,692,5
2020-01-28,673,5
2020-01-29,616,5
2020-01-30,612,5
2020-01-31,702,5
2020-02-01,786,5
2020-02-02,662,5
2020-02-03,742,6
2020-02-04,643,6
2020-02-05,627,6
2020-02-06,553,6
2020-02-07,692,6
2020-02-08,624,6
2020-02-09,559,6
2020-02-10,626,7
2020-02-11,633,7
2020-02-12,624,7
2020-02-13,542,7
2020-02-14,582,7
2020-02-15,591,7
2020-02-16,615,7
2020-02-17,596,8
2020-02-18,657,8
2020-02-19,576,8
2020-02-20,596,8
2020-02-21,658,8
2020-02-22,682,8
2020-02-23,657,8
2020-02-24,594,9
2020-02-25,511,9
2020-02-26,595,9
2020-02-27,563,9
2020-02-28,653,9
2020-02-29,586,9
2020-03-01,706,9
2020-03-02,592,10
2020-03-03,630,10
2020-03-04,619,10
2020-03-05,583,10
2020-03-06,704,10
2020-03-07,586,10
2020-03-08,631,10
2020-03-09,567,11
2020-03-10,561,11
2020-03-11,583,11
2020-03-12,629,11
2020-03-13,670,11
2020-03-14,615,11
2020-03-15,585,11
2020-03-16,522,12
2020-03-17,568,12
2020-03-18,524,12
2020-03-19,468,12
2020-03-20,486,12
2020-03-21,435,12
2020-03-22,372,12
2020-03-23,390,13
2020-03-24,421,13
2020-03-25,433,13
2020-03-26,415,13
2020-03-27,423,13
2020-03-28,461,13
2020-03-29,497,13
2020-03-30,442,14
2020-03-31,387,14
2020-04-01,500,14
2020-04-02,371,14
2020-04-03,502,14
2020-04-04,442,14
2020-04-05,402,14
2020-04-06,447,15
2020-04-07,453,15
2020-04-08,443,15
2020-04-09,422,15
2020-04-10,416,15
2020-04-11,443,15
2020-04-12,380,15
2020-04-13,394,16
2020-04-14,362,16
2020-04-15,405,16
2020-04-16,401,16
2020-04-17,422,16
2020-04-18,457,16
2020-04-19,339,16
2020-04-20,494,17
2020-04-21,414,17
2020-04-22,425,17
2020-04-23,433,17
2020-04-24,432,17
2020-04-25,394,17
2020-04-26,420,17
2020-04-27,391,18
2020-04-28,457,18
2020-04-29,420,18
2020-04-30,419,18
2020-05-01,546,18
2020-05-02,485,18
2020-05-03,484,18
2020-05-04,430,19
2020-05-05,429,19
2020-05-06,460,19
2020-05-07,413,19
2020-05-08,439,19
2020-05-09,461,19
2020-05-10,471,19
2020-05-11,445,20
2020-05-12,449,20
2020-05-13,513,20
2020-05-14,465,20
2020-05-15,545,20
2020-05-16,573,20
2020-05-17,439,20
2020-05-18,493,21
2020-05-19,465,21
2020-05-20,531,21
2020-05-21,491,21
2020-05-22,527,21
2020-05-23,548,21
2020-05-24,564,21
2020-05-25,639,22
2020-05-26,573,22
2020-05-27,563,22
2020-05-28,547,22
2020-05-29,578,22
2020-05-30,921,22
2020-05-31,1894,22
2020-06-01,861,23
2020-06-02,669,23
2020-06-03,620,23
2020-06-04,521,23
2020-06-05,537,23
2020-06-06,526,23
2020-06-07,549,23
2020-06-08,521,24
2020-06-09,491,24
2020-06-10,490,24
2020-06-11,547,24
2020-06-12,601,24
2020-06-13,501,24
2020-06-14,532,24
2020-06-15,568,25
2020-06-16,545,25
2020-06-17,593,25
2020-06-18,594,25
2020-06-19,591,25
2020-06-20,653,25
2020-06-21,590,25
2020-06-22,664,26
2020-06-23,570,26
2020-06-24,580,26
2020-06-25,611,26
2020-06-26,551,26
2020-06-27,579,26
2020-06-28,621,26
2020-06-29,551,27
2020-06-30,568,27
2020-07-01,671,27
2020-07-02,632,27
2020-07-03,681,27
2020-07-04,739,27
2020-07-05,702,27
2020-07-06,629,28
2020-07-07,545,28
2020-07-08,549,28
2020-07-09,552,28
2020-07-10,668,28
2020-07-11,625,28
2020-07-12,594,28
2020-07-13,662,29
2020-07-14,596,29
2020-07-15,594,29
2020-07-16,588,29
2020-07-17,653,29
2020-07-18,643,29
2020-07-19,621,29
2020-07-20,632,30
2020-07-21,624,30
2020-07-22,607,30
2020-07-23,558,30
2020-07-24,621,30
2020-07-25,639,30
2020-07-26,638,30
2020-07-27,612,31
2020-07-28,615,31
2020-07-29,612,31
2020-07-30,595,31
2020-07-31,620,31
2020-08-01,654,31
2020-08-02,562,31
2020-08-03,594,32
2020-08-04,534,32
2020-08-05,568,32
2020-08-06,595,32
2020-08-07,588,32
2020-08-08,661,32
2020-08-09,649,32
2020-08-10,934,33
2020-08-11,587,33
2020-08-12,596,33
2020-08-13,633,33
2020-08-14,633,33
2020-08-15,623,33
2020-08-16,663,33
2020-08-17,637,34
2020-08-18,608,34
2020-08-19,621,34
2020-08-20,632,34
2020-08-21,650,34
2020-08-22,640,34
2020-08-23,623,34
2020-08-24,632,35
2020-08-25,628,35
2020-08-26,642,35
2020-08-27,585,35
2020-08-28,659,35
2020-08-29,641,35
2020-08-30,654,35
2020-08-31,687,36
2020-09-01,625,36
2020-09-02,567,36
2020-09-03,560,36
2020-09-04,642,36
2020-09-05,667,36
2020-09-06,641,36
2020-09-07,595,37
2020-09-08,539,37
2020-09-09,534,37
2020-09-10,563,37
2020-09-11,653,37
2020-09-12,558,37
2020-09-13,576,37
2020-09-14,584,38
2020-09-15,594,38
2020-09-16,614,38
2020-09-17,524,38
2020-09-18,573,38
2020-09-19,583,38
2020-09-20,591,38
2020-09-21,554,39
2020-09-22,536,39
2020-09-23,624,39
2020-09-24,564,39
2020-09-25,669,39
2020-09-26,624,39
2020-09-27,645,39
2020-09-28,540,40
2020-09-29,510,40
2020-09-30,570,40
2020-10-01,579,40
2020-10-02,548,40
2020-10-03,602,40
2020-10-04,569,40
2020-10-05,561,41
2020-10-06,588,41
2020-10-07,600,41
2020-10-08,552,41
2020-10-09,648,41
2020-10-10,665,41
2020-10-11,633,41
2020-10-12,564,42
2020-10-13,582,42
2020-10-14,631,42
2020-10-15,628,42
2020-10-16,563,42
2020-10-17,609,42
2020-10-18,553,42
2020-10-19,518,43
2020-10-20,537,43
2020-10-21,569,43
2020-10-22,595,43
2020-10-23,575,43
2020-10-24,548,43
2020-10-25,640,43
2020-10-26,542,44
2020-10-27,508,44
2020-10-28,538,44
2020-10-29,579,44
2020-10-30,611,44
2020-10-31,617,44
2020-11-01,626,44
2020-11-02,587,45
2020-11-03,607,45
2020-11-04,647,45
2020-11-05,638,45
2020-11-06,652,45
2020-11-07,617,45
2020-11-08,590,45
2020-11-09,614,46
2020-11-10,587,46
2020-11-11,478,46
2020-11-12,509,46
2020-11-13,523,46
2020-11-14,463,46
2020-11-15,506,46
2020-11-16,502,47
2020-11-17,488,47
2020-11-18,486,47
2020-11-19,510,47
2020-11-20,630,47
2020-11-21,526,47
2020-11-22,499,47
2020-11-23,525,48
2020-11-24,490,48
2020-11-25,473,48
2020-11-26,382,48
2020-11-27,569,48
2020-11-28,484,48
2020-11-29,518,48
2020-11-30,475,49
2020-12-01,516,49
2020-12-02,497,49
2020-12-03,457,49
2020-12-04,565,49
2020-12-05,548,49
2020-12-06,552,49
2020-12-07,542,50
2020-12-08,535,50
2020-12-09,501,50
2020-12-10,561,50
2020-12-11,481,50
2020-12-12,482,50
2020-12-13,534,50
2020-12-14,528,51
2020-12-15,545,51
2020-12-16,513,51
2020-12-17,505,51
2020-12-18,547,51
2020-12-19,517,51
2020-12-20,519,51
2020-12-21,592,52
2020-12-22,562,52
2020-12-23,556,52
2020-12-24,482,52
2020-12-25,394,52
2020-12-26,427,52
2020-12-27,484,52
2020-12-28,518,53
2020-12-29,412,53
2020-12-30,450,53
2020-12-31,530,53
2021-01-01,573,53
2021-01-02,427,53
2021-01-03,486,53
2021-01-04,493,53
2021-01-05,515,53
2021-01-06,454,53
2021-01-07,545,53
2021-01-08,553,53
2021-01-09,491,53
2021-01-10,504,53
2021-01-11,459,54
2021-01-12,515,54
2021-01-13,477,54
2021-01-14,499,54
2021-01-15,517,54
2021-01-16,466,54
2021-01-17,460,54
2021-01-18,441,55
2021-01-19,471,55
2021-01-20,432,55
