Date,Counts
2020-05-31,1894
2020-08-10,934
2020-05-30,921
2020-06-01,861
2020-02-01,786
2020-02-03,742
2020-07-04,739
2020-03-01,706
2020-03-06,704
2020-01-31,702
2020-07-05,702
2020-01-27,692
2020-02-07,692
2020-08-31,687
2020-02-22,682
2020-07-03,681
2020-01-28,673
2020-07-01,671
2020-03-13,670
2020-06-02,669
2020-09-25,669
2020-07-10,668
2020-09-05,667
2020-10-10,665
2020-06-22,664
2020-08-16,663
2020-07-13,662
2020-01-25,662
2020-02-02,662
2020-08-08,661
2020-08-28,659
2020-02-21,658
2020-02-23,657
2020-02-18,657
2020-01-24,657
2020-08-01,654
2020-08-30,654
2020-02-28,653
2020-06-20,653
2020-09-11,653
2020-07-17,653
2020-11-06,652
2020-08-21,650
2020-08-09,649
2020-10-09,648
2020-11-04,647
2020-09-27,645
2020-07-18,643
2020-02-04,643
2020-08-26,642
2020-09-04,642
2020-09-06,641
2020-08-29,641
2020-08-22,640
2020-10-25,640
2020-05-25,639
2020-07-25,639
2020-07-26,638
2020-11-05,638
2020-08-17,637
2020-08-14,633
2020-08-13,633
2020-02-11,633
2020-10-11,633
2020-08-24,632
2020-08-20,632
2020-07-02,632
2020-07-20,632
2020-10-14,631
2020-03-08,631
2020-03-03,630
2020-11-20,630
2020-03-12,629
2020-07-06,629
2020-10-15,628
2020-08-25,628
2020-02-05,627
2020-11-01,626
2020-02-10,626
2020-09-01,625
2020-07-11,625
2020-09-23,624
2020-07-21,624
2020-02-08,624
2020-09-26,624
2020-02-12,624
2020-08-23,623
2020-08-15,623
2020-08-19,621
2020-07-19,621
2020-07-24,621
2020-06-28,621
2020-06-03,620
2020-07-31,620
2020-03-04,619
2020-10-31,617
2020-11-07,617
2020-01-29,616
2020-03-14,615
2020-02-16,615
2020-07-28,615
2020-09-16,614
2020-11-09,614
2020-07-27,612
2020-01-30,612
2020-07-29,612
2020-10-30,611
2020-06-25,611
2020-10-17,609
2020-08-18,608
2020-07-22,607
2020-11-03,607
2020-01-26,605
2020-10-03,602
2020-06-12,601
2020-10-07,600
2020-08-12,596
2020-02-20,596
2020-02-17,596
2020-07-14,596
2020-07-30,595
2020-02-26,595
2020-08-06,595
2020-10-22,595
2020-09-07,595
2020-07-12,594
2020-09-15,594
2020-07-15,594
2020-08-03,594
2020-06-18,594
2020-02-24,594
2020-06-17,593
2020-12-21,592
2020-03-02,592
2020-09-20,591
2020-01-23,591
2020-02-15,591
2020-06-19,591
2020-11-08,590
2020-06-21,590
2020-10-06,588
2020-07-16,588
2020-08-07,588
2020-11-10,587
2020-11-02,587
2020-08-11,587
2020-02-29,586
2020-03-07,586
2020-08-27,585
2020-03-15,585
2020-09-14,584
2020-09-19,583
2020-03-05,583
2020-03-11,583
2020-02-14,582
2020-10-13,582
2020-06-24,580
2020-06-27,579
2020-10-29,579
2020-10-01,579
2020-05-29,578
2020-02-19,576
2020-09-13,576
